,importance
CAT_6,55.44787185715643
BIO_alblk00_max,6.041669446405566
BIO_alblk00_mean,4.182417857216718
BIO_alblk06_mean,2.446304099266734
BIO_alblk06_max,2.234491623640909
AL_7,1.5382827232612326
BIO_ek_max,1.4810374692238062
BIO_alblk65_max,1.3660014762405286
BIO_ek_std,1.0785192202610225
BIO_alblk05_std,1.0025975152700592
EK_6,0.9547937934761717
EK_9,0.9129860049653565
AL_327,0.8880128244714299
EK_1,0.8877093753850163
AL_33,0.8357748345264122
BIO_alblk05_max,0.7790294874628165
AL_37,0.6576205422618088
AL_28,0.5533074689383938
BIO_alblk61_max,0.5322442496168176
AL_264,0.5291485168612993
EK_7,0.4866829534265101
BIO_alblk06_std,0.42948866837532124
AL_298,0.41039397797275495
EK_3,0.3711548407508459
AL_27,0.36891210226823173
AL_41,0.3657213857022996
BIO_alblk00_std,0.35313557477601265
AL_160,0.3336446791603238
BIO_alblk63_max,0.32475611836731144
AL_30,0.3120867539403224
AL_296,0.2715154300505934
AL_60,0.22761592857183705
AL_166,0.22467241982393768
BIO_ek_mean,0.21031871937584973
AL_289,0.202883792950714
BIO_alblk50_std,0.199620690997653
AL_330,0.19351931153696897
AL_34,0.1929717183558638
AL_133,0.1819451641878595
AL_219,0.17668021038876308
EK_2,0.16151520479293566
BIO_alblk31_mean,0.1453011861245715
AL_304,0.1280256127212599
BIO_missing_count,0.12109043164220083
BIO_alblk50_mean,0.1192617189251983
AL_13,0.10873949729099515
BIO_alblk56_mean,0.10390470362879707
AL_25,0.10183902638578686
AL_318,0.10100288351272113
BIO_alblk05_mean,0.09825742082024609
AL_1,0.09571825831413593
BIO_alblk45_mean,0.09561449415268246
BIO_alblk35_std,0.09515686253867506
AL_302,0.09457659300695778
AL_64,0.09362567575623089
AL_315,0.092924764709935
AL_38,0.09013543592474285
AL_163,0.09013354677451116
AL_206,0.08718869552199898
AL_88,0.08464520535341838
BIO_alblk23_mean,0.07669138669166391
AL_36,0.07655674291283424
AA_1_G,0.0753846276504494
BIO_alblk49_std,0.07229149620035973
AL_282,0.07191143714902766
BIO_alblk42_mean,0.07042874970797357
AL_95,0.07028786083363389
AL_199,0.06901701814790562
AL_12,0.06884978620911353
BIO_alblk41_mean,0.06692675509699186
AL_14,0.0665198470666904
BIO_alblk61_std,0.06534843219802416
AL_287,0.0646481683169767
AL_4,0.06450863759497819
BIO_alblk12_std,0.06274047263394017
BIO_alblk63_std,0.06229247518290428
AL_94,0.060905480774915144
AL_157,0.06088603738086591
BIO_alblk02_max,0.059871411651702545
BIO_alblk60_max,0.058786046070859875
BIO_alblk02_std,0.058657452526329854
BIO_alblk17_mean,0.0581483220670256
AL_249,0.057317362532887495
BIO_alblk65_mean,0.05703181044216756
BIO_alblk21_mean,0.056982793328575455
AL_279,0.05680325288857171
AL_309,0.0535797567098943
AL_156,0.05285831162694153
BIO_alblk03_mean,0.0528202476945228
AL_247,0.051461162687011244
BIO_alblk40_max,0.0513563096426613
AL_117,0.05091367941670364
BIO_alblk66_std,0.050452235376942677
AL_299,0.05032151700021927
AL_115,0.050202873979417605
BIO_alblk22_max,0.04949955723364753
AL_145,0.04888133840830037
AL_5,0.048372022639423654
BIO_alblk02_mean,0.04808984760338465
BIO_alblk07_mean,0.04759882372044815
BIO_alblk59_max,0.047558674799244985
BIO_alblk35_mean,0.04722200666872475
AL_230,0.046408421867895025
AL_67,0.04582280167844436
AL_243,0.045531207067515025
AL_47,0.0454821562634385
BIO_al_max,0.044098984921718584
BIO_blosum62,0.043941741155042846
BIO_alblk47_std,0.042593766693768534
BIO_alblk61_mean,0.04230996098143443
BIO_alblk56_std,0.04226422711696733
BIO_alblk66_max,0.04202328118541985
