,importance
CAT_1,5.403393387780849
EK_6,4.569258403298387
EK_4,4.215945065690841
EK_7,3.0474443140447662
AL_47,2.8250403247449367
BIO_alblk03_std,2.8209930071953635
BIO_alblk65_std,2.6565675841967886
BIO_alblk09_std,2.5370642507915075
AA_1_R,1.664830376900116
BIO_alblk66_std,1.5336641711240167
BIO_alblk12_std,1.495369607490388
BIO_alblk01_std,1.492445154213074
BIO_ek_mean,1.319498640069503
BIO_alblk00_std,1.1980726898644778
BIO_alblk59_std,1.1972890605543622
BIO_alblk61_std,1.1864663276212029
EK_1,1.1781503763843149
BIO_alblk60_std,1.15848876912553
AL_62,1.1260249712294175
BIO_alblk02_std,1.125985955651797
BIO_missing_count,1.1231362323482392
BIO_alblk62_std,1.10645149998738
AL_14,1.0856603747414657
BIO_alblk14_std,1.0525265143990032
BIO_alblk64_std,1.0354957424633136
BIO_ek_std,1.0340764977836998
BIO_al_max,0.9881575423871816
BIO_blosum62,0.8963131266115216
BIO_al_std,0.8813083088851951
BIO_alblk63_std,0.8809410951437826
BIO_alblk04_std,0.8703463430163474
AL_12,0.8661830683811715
AL_71,0.8300192204123258
AL_10,0.7859611837055535
BIO_alblk05_max,0.7608992894652307
BIO_alblk05_mean,0.7393332020314782
BIO_grantham,0.7067604290509196
AL_327,0.69191278618866
AL_22,0.6361084987959595
AL_26,0.6301876544316765
BIO_al_mean,0.625738872452444
AL_9,0.6121865322072375
AL_20,0.6087337399338987
EK_8,0.5976161302135307
BIO_alblk02_mean,0.587108002822329
BIO_alblk44_max,0.5870684604391487
AL_15,0.5262227433192572
AA_2_P,0.5247033656575623
EK_2,0.5228597060425925
AL_91,0.5159067625705033
AL_136,0.49685022569331494
BIO_ek_max,0.4785970853517026
AL_315,0.4771365506809434
AL_23,0.4638792552304308
AL_24,0.4495298967453042
BIO_hydro_diff,0.4281401019923289
AL_13,0.4199170128210204
BIO_alblk35_mean,0.40906683221081225
AL_68,0.39868018919530485
EK_5,0.3941141850076689
BIO_alblk61_mean,0.38028279573142026
AL_186,0.3656862943338008
BIO_alblk13_std,0.36464254437957433
AL_79,0.34987955575927565
BIO_alblk13_max,0.34281559475913315
BIO_alblk57_std,0.3406191318555393
BIO_alblk47_mean,0.32994464686841873
AL_298,0.32629033523729245
BIO_alblk27_std,0.32409080282450564
BIO_alblk08_std,0.31335111690343875
EK_9,0.3071210432375092
BIO_alblk07_mean,0.2873337284772555
BIO_alblk06_std,0.2796119438358148
BIO_alblk31_std,0.2685325960975742
BIO_alblk02_max,0.25445378345086445
AL_151,0.24792136107026783
AL_7,0.2442784478755935
AL_124,0.23825146632034677
AL_16,0.23803475403931276
BIO_alblk65_mean,0.2334322222784649
AA_2_R,0.23244303231073032
AL_106,0.23017484363983867
BIO_alblk10_std,0.216237184156478
AA_2_A,0.21474125946006337
AL_311,0.21183554230728846
CAT_4,0.2102762506169252
BIO_alblk29_mean,0.20703781278379396
AL_175,0.2000284045927004
BIO_alblk35_std,0.19885885240408388
AL_296,0.19324427049068266
CAT_5,0.18938728496116786
AL_8,0.18745585208602117
BIO_alblk49_mean,0.1866356428631578
BIO_alblk44_mean,0.18508237443776646
AL_11,0.18039417060362778
BIO_pam250,0.17913130220110532
AL_172,0.17434970867894029
AL_40,0.1738415898348738
AL_18,0.17224464882886786
AL_306,0.16745657996941302
BIO_alblk34_std,0.16213318185824002
BIO_alblk48_std,0.161459146467201
BIO_alblk16_mean,0.15946059107504854
BIO_alblk09_mean,0.1591840631782474
BIO_alblk62_mean,0.158450334964784
AL_262,0.1565849481322446
BIO_alblk59_mean,0.1542206591320733
BIO_alblk07_max,0.1528665896646594
AL_251,0.1521333933997336
AL_17,0.15163163482880138
BIO_alblk01_max,0.15158396504450278
BIO_alblk30_mean,0.15096073146271824
BIO_alblk19_max,0.15073343576124185
AL_319,0.15035798006856396
BIO_alblk53_std,0.14950716218287588
BIO_alblk17_mean,0.14948581759575102
CAT_3,0.14789846018076444
BIO_alblk07_std,0.14782724064953917
AL_287,0.14503673522717028
AA_2_E,0.14334844996447468
AL_19,0.14043142138268133
AL_50,0.13927888275100891
BIO_alblk12_mean,0.13847209762486348
EK_3,0.1355822028921926
AL_53,0.13417336044643977
AL_331,0.13326546067500428
BIO_alblk42_std,0.13282936276026006
BIO_alblk15_std,0.13122956758853604
AL_139,0.1302055601586916
AL_73,0.1283656000708058
BIO_alblk16_std,0.12800850447220205
BIO_alblk50_std,0.12771249422455297
AL_310,0.12748463859554918
AL_58,0.12745016150181684
AL_166,0.12700049660109933
BIO_alblk19_mean,0.12468357395928324
AL_70,0.12446534887698232
BIO_alblk37_std,0.12390459637076583
BIO_alblk63_mean,0.12329506787883773
AA_2_W,0.12106884554837531
BIO_alblk40_std,0.1203071692707591
AL_313,0.12026316603009546
AA_1_G,0.12003430737858793
BIO_alblk36_std,0.11907897624515518
AL_52,0.1190246778722636
BIO_alblk39_mean,0.11730761943485395
BIO_alblk53_mean,0.11674249991715294
AL_194,0.11534177553945982
AL_121,0.11372326590481205
AL_85,0.11162488324483162
AL_203,0.11048642496344627
AL_223,0.10827367276318507
AL_21,0.10645878130464734
BIO_alblk05_std,0.10642133504618438
AL_118,0.10548985919077285
BIO_alblk22_std,0.10508048924826571
BIO_alblk27_mean,0.10504460602134066
BIO_alblk11_mean,0.10496903290077883
BIO_alblk21_std,0.10407787412723432
AL_157,0.10350529857406236
BIO_alblk01_mean,0.10323220086081526
AL_323,0.10179595202069103
AL_25,0.1009563879770339
BIO_alblk24_mean,0.1000537394669481
AL_46,0.09999762299780621
BIO_alblk47_std,0.09930701417321283
AL_117,0.09854755842147592
BIO_alblk40_mean,0.0963970526664556
AL_283,0.09614627903504055
AL_55,0.0960327039202697
BIO_alblk66_mean,0.0958471805724634
AL_82,0.09571777456905876
AL_219,0.0952956931165066
BIO_alblk64_mean,0.09520683665972288
BIO_alblk46_std,0.09513490419397033
BIO_alblk44_std,0.09395413880553981
AL_160,0.09387158274135146
BIO_alblk45_mean,0.09355039875436613
BIO_alblk52_std,0.09330619819043827
AL_211,0.09182732738883381
AL_188,0.0899005022342382
AL_302,0.08788625400862382
BIO_alblk14_mean,0.08726507846075351
BIO_alblk03_max,0.08687945855116302
AL_112,0.0865310409221551
BIO_alblk04_max,0.08525455330549479
AL_64,0.08458706061868966
BIO_alblk51_std,0.08449478340519198
AL_178,0.08435887215911467
BIO_alblk38_mean,0.08387910278982078
BIO_alblk03_mean,0.08368986611548097
AL_60,0.08364942644453258
BIO_alblk25_std,0.0826995070181582
BIO_alblk42_mean,0.08151096995294217
AL_243,0.08138950908063416
BIO_alblk43_mean,0.08136478963625093
BIO_alblk30_std,0.0788688733327018
AL_169,0.078521683525719
AL_97,0.07754049383568398
BIO_alblk39_std,0.07638349483848753
AL_297,0.07634993924552544
BIO_alblk37_mean,0.07616998158320447
AL_76,0.0749202661267323
AL_330,0.07487151491364866
BIO_alblk58_mean,0.07466954414086706
BIO_alblk04_mean,0.07462513792022052
BIO_alblk41_std,0.07320143904642493
BIO_alblk37_max,0.07313347448667465
AL_235,0.07254027618048807
BIO_alblk19_std,0.07226539532364519
AL_103,0.0721524880008742
AL_207,0.07136114383886795
BIO_alblk55_mean,0.06997245745719244
BIO_alblk26_mean,0.06965856213131968
BIO_alblk49_std,0.06926919533845234
AL_181,0.06915269419804516
AL_90,0.06857051034769583
AL_109,0.06800632161399614
AL_304,0.06794797749782386
AL_190,0.0676101161383765
AL_127,0.06747867827076731
BIO_alblk32_std,0.06709062770569428
AL_48,0.06625136614777367
BIO_alblk43_std,0.06606643288651566
AL_145,0.06544347920273964
BIO_alblk11_std,0.06405058002121436
AL_199,0.06247217407898138
AA_1_N,0.06181065348470414
AL_83,0.06084564880817574
AA_1_K,0.06077526196434916
AA_2_S,0.060546602009409964
BIO_alblk33_std,0.06025443419507477
AL_224,0.0600809616965672
BIO_alblk36_mean,0.059734272332072735
BIO_alblk15_mean,0.05966673030349352
AL_184,0.057901164554645
BIO_alblk38_std,0.05784580080637643
BIO_alblk51_mean,0.05680087705260637
AL_255,0.05656602925849465
BIO_alblk20_std,0.056431370572493145
BIO_alblk29_std,0.05416323828579528
AL_321,0.054009840081143665
AL_215,0.053949347506821885
BIO_alblk33_mean,0.05318232079516459
AL_266,0.053002783828117996
BIO_alblk17_std,0.0527072388864217
AL_115,0.051979399048004624
AL_239,0.05154287902872763
BIO_alblk32_mean,0.051364077681356465
BIO_alblk50_mean,0.051250169231532784
AL_333,0.05099732043039649
AL_279,0.05054165084630691
BIO_alblk58_max,0.05039177919482977
AL_148,0.04921082911028925
BIO_alblk18_mean,0.04866763565353216
BIO_alblk52_mean,0.04865591041704785
AL_39,0.047989658208872764
BIO_alblk56_mean,0.04792752627514161
BIO_alblk22_mean,0.047549658567261566
BIO_alblk28_mean,0.04721955506129985
BIO_alblk08_mean,0.0470250164760832
AL_238,0.04579450648533843
BIO_alblk25_mean,0.045660574046969084
BIO_alblk57_mean,0.045567448042896204
BIO_alblk24_std,0.045533287751540245
AL_88,0.045401387665779225
BIO_alblk60_mean,0.0444487084130815
BIO_alblk13_mean,0.0442497549196984
AA_1_C,0.043992956375122835
BIO_alblk45_std,0.043938191798134685
AL_230,0.04384335729829955
BIO_alblk23_std,0.0437478111097113
BIO_alblk55_std,0.04367397509480233
AA_2_V,0.043069168019005705
AL_141,0.042736483282542675
AL_291,0.04196900811181413
AL_247,0.04177579347293196
BIO_alblk34_mean,0.0415796549629792
BIO_alblk26_std,0.04125471234008636
AL_45,0.04101005006961478
BIO_alblk12_max,0.040848135458965526
AL_67,0.04028380378769046
BIO_alblk09_max,0.040025004260601585
AA_2_K,0.03974227774987069
AL_130,0.03950432176798889
AL_100,0.039031395313009296
AL_150,0.038372542433794024
BIO_alblk46_mean,0.03793018134665144
AL_43,0.03775552605028985
BIO_alblk31_mean,0.03685397684798099
BIO_alblk28_std,0.03671441839786753
AL_57,0.03648159098862789
AL_66,0.03581647265425858
BIO_alblk58_std,0.035708292101829894
AL_275,0.03544453798654398
BIO_alblk14_max,0.03540602761968046
BIO_alblk54_std,0.03435449266355642
AL_49,0.03415346889685517
BIO_alblk21_mean,0.03368713479999539
AL_268,0.03275483962183527
AL_234,0.03260361856743932
AL_174,0.03241688250633468
AL_260,0.03207260907328028
AL_326,0.031790654044957525
BIO_alblk54_mean,0.030343120786881193
AL_133,0.02866352861304212
AL_318,0.028258302538690033
AL_294,0.027907726465436
AL_142,0.02685011924425055
AL_257,0.026490729679326985
AL_154,0.026259721386302597
