,importance
BIO_ek_mean,14.951112728725525
AL_300,8.368282166672895
AL_331,6.348883725655287
BIO_alblk18_std,5.780796577733183
AL_7,5.753149366134403
CAT_1,5.103980111929831
AL_246,5.096034452072637
AL_26,4.955746280843363
BIO_alblk62_mean,4.892605082058554
AL_49,4.600566804634892
BIO_alblk63_mean,4.289218558030376
AL_12,4.015866243273058
EK_6,3.620777051493632
EK_7,3.5965840254830796
AL_317,3.5683150468651683
EK_8,3.275281754468183
EK_5,3.1834384854396687
BIO_al_max,3.113776822586481
AL_82,3.0677909989367165
BIO_alblk34_mean,2.4177937169630677
